,OBJECTID,NAME_0,NAME_1,NAME_2,Shape_Area,bngy,psgc_bgy,bldg count,POIs,roads,lslide_suscep,lslide_intensity,ndvi_mean,ntl_mean,pop_total,settlements
35,74340,Pilipinas,Agusan del Norte,Butuan City,4.17235e-05,Baan Riverside Pob. (Bgy. 20),160202033,72,0,3,None,Not Susceptible,7214.5,0.5813333292802181,6026.649762927211,16.0
36,74343,Pilipinas,Agusan del Norte,Butuan City,9.732496999999999e-05,Bayanihan Pob. (Bgy. 27),160202020,4032,9,113,None,Not Susceptible,4241.55555555556,10.070857184273901,4530.88194639467,819.0
37,74344,Pilipinas,Agusan del Norte,Butuan City,2.121689e-05,San Ignacio Pob. (Bgy. 15),160202075,76,0,4,None,Not Susceptible,6517.472222222221,1.17442823193539,2704.43024240247,17.0
38,74349,Pilipinas,Agusan del Norte,Butuan City,0.0006707099900000001,Libertad,160202054,15852,54,480,None,Not Susceptible,5580.48922056385,4.63873173260107,23244.9135680489,3139.0
39,74352,Pilipinas,Agusan del Norte,Butuan City,0.00017109003,Buhangin Pob. (Bgy. 19),160202027,828,2,42,None,Not Susceptible,6281.029411764711,1.87888889511426,4919.6704962503,211.0
40,74353,Pilipinas,Agusan del Norte,Butuan City,0.00087752026,Bancasi,160202016,9040,26,255,None,Not Susceptible,6417.40761548065,1.9825090998952999,4639.98387997713,1522.0
41,74360,Pilipinas,Agusan del Norte,Butuan City,1.666935e-05,Leon Kilat Pob. (Bgy. 13),160202053,40,0,3,None,Not Susceptible,6328.777777777779,1.48856370754363,146.329756401713,4.0
42,74366,Pilipinas,Agusan del Norte,Butuan City,2.010618e-05,Limaha Pob. (Bgy. 14),160202055,96,0,4,None,Not Susceptible,4653.11111111111,4.678999781608581,7176.5666661541,14.0
43,74368,Pilipinas,Agusan del Norte,Butuan City,7.84221e-06,Humabon Pob. (Bgy. 11),160202048,32,0,3,None,Not Susceptible,6489.44444444444,1.23007667832282,134.153411708432,4.0
44,74370,Pilipinas,Agusan del Norte,Butuan City,4.73177e-06,Sikatuna Pob. (Bgy. 10),160202078,20,0,2,None,Not Susceptible,6643.8735243977,1.3503348065035803,108.94624199251601,4.0
45,74375,Pilipinas,Agusan del Norte,Butuan City,7.53441e-06,Urduja Pob. (Bgy. 9),160202089,124,0,5,None,Not Susceptible,6673.66666666667,1.31210342607916,114.28674405097401,20.0
46,74377,Pilipinas,Agusan del Norte,Butuan City,2.396384e-05,Tandang Sora Pob. (Bgy. 12),160202085,270,2,7,None,Not Susceptible,5731.1388888888905,3.70942599808155,4245.69913647307,83.0
47,74378,Pilipinas,Agusan del Norte,Butuan City,0.00046834818,Taligaman,160202084,58,0,2,Low,MMI-8,7463.98936170213,0.30268965558759103,3903.9070047318396,14.0
48,74380,Pilipinas,Agusan del Norte,Butuan City,4.449509999999999e-06,Silongan Pob. (Bgy. 5),160202079,48,0,4,None,Not Susceptible,6736.653435224511,1.20351610166138,739.125484890405,4.0
49,74387,Pilipinas,Agusan del Norte,Butuan City,1.954009e-05,Diego Silang Pob. (Bgy. 6),160202038,170,0,9,None,Not Susceptible,6857.16666666667,2.0589151990650203,1330.85311296741,21.0
50,74390,Pilipinas,Agusan del Norte,Butuan City,5.04385e-06,Rajah Soliman Pob. (Bgy. 4),160202074,4,0,0,None,Not Susceptible,6904.05555555556,1.5667095229111103,457.384257067839,0.812565753713814
51,74391,Pilipinas,Agusan del Norte,Butuan City,7.073054e-05,Imadejas Pob. (Bgy. 24),160202037,2896,6,56,None,Not Susceptible,3708.30158730159,12.9774997234344,1909.7635361041,432.0
52,74392,Pilipinas,Agusan del Norte,Butuan City,5.424109999999999e-06,New Society Village Pob. (Bgy. 26),160202070,320,0,12,None,Not Susceptible,6294.086502388521,2.62884223575254,1204.81726438783,42.0
53,74393,Pilipinas,Agusan del Norte,Butuan City,1.073612e-05,Lapu-lapu Pob. (Bgy. 8),160202051,288,1,9,None,Not Susceptible,4890.62962962963,3.99783195478709,1209.0896660346,59.0
54,74394,Pilipinas,Agusan del Norte,Butuan City,4.64154e-06,Agao Pob. (Bgy. 3),160202002,0,0,0,None,Not Susceptible,6564.027041761271,1.9840092366228799,0.0,0.0
55,74399,Pilipinas,Agusan del Norte,Butuan City,2.5644139999999997e-05,Dagohoy Pob. (Bgy. 7),160202044,1182,3,26,None,Not Susceptible,5645.777777777779,5.402499914169309,1457.95706195867,132.0
56,74400,Pilipinas,Agusan del Norte,Butuan City,2.8013020000000002e-05,Golden Ribbon Pob. (Bgy. 2),160202043,16,0,0,None,Not Susceptible,6577.422222222221,3.0599999427795397,4789.36224602396,3.0
57,74406,Pilipinas,Agusan del Norte,Butuan City,0.0009211487800000001,Basag,160202019,1296,3,31,None,Not Susceptible,7303.539855072459,0.5409464250717839,3816.3227709731896,512.0
58,74414,Pilipinas,Agusan del Norte,Butuan City,3.626608e-05,Jose Rizal Pob. (Bgy. 25),160202045,680,0,16,None,Not Susceptible,6521.59259259259,5.56650277072788,5689.770893079761,95.0
59,74418,Pilipinas,Agusan del Norte,Butuan City,0.0008525560800000001,Mahay,160202061,2628,4,177,None,Not Susceptible,6269.78763971072,1.0802352977734,3054.76717743718,824.0
60,74421,Pilipinas,Agusan del Norte,Butuan City,2.290718e-05,Maon Pob. (Bgy. 1),160202066,146,0,17,None,Not Susceptible,5941.55555555556,2.80799996852875,5293.50564034227,51.0
61,74424,Pilipinas,Agusan del Norte,Butuan City,0.00029742778,Villa Kananga,160202090,8730,155,229,None,Not Susceptible,4677.1845574388,11.1715498864651,8062.02190744644,1810.0
62,74425,Pilipinas,Agusan del Norte,Butuan City,0.00014734264,Pangabugan,160202098,1858,0,57,None,Not Susceptible,6186.40860215054,1.7348888715108202,2958.638140385,257.0
63,74429,Pilipinas,Agusan del Norte,Butuan City,0.00061001294,De Oro,160202093,12,0,10,Low,MMI-8,7552.0817263544595,0.280194447686275,1899.0825319872,53.0
64,74432,Pilipinas,Agusan del Norte,Butuan City,0.00047068996,Bonbon,160202025,7662,121,309,None,Not Susceptible,5665.777777777779,8.25155551566018,4847.03966825529,2234.0
65,74448,Pilipinas,Agusan del Norte,Butuan City,0.0007076322900000001,Tagabaca,160202082,856,3,51,None,Not Susceptible,6315.0352112676,0.7333488353463109,3004.56645808773,361.0
66,74452,Pilipinas,Agusan del Norte,Butuan City,0.0035926503799999995,Bit-os,160202022,11024,4,300,Medium,MMI-9,7321.327583527579,0.6839956172594901,2814.44458480678,1959.0
67,74455,Pilipinas,Agusan del Norte,Butuan City,0.00036125964,San Vicente,160202077,3144,3,70,None,Not Susceptible,6103.7503805175,1.63530001044273,14233.506086198799,456.0
68,74457,Pilipinas,Agusan del Norte,Butuan City,0.00037867714999999995,Kinamlutan,160202049,8596,12,239,None,Not Susceptible,5244.31746031746,6.85563642328436,2769.58436751574,1618.0
69,74469,Pilipinas,Agusan del Norte,Butuan City,0.00189891902,Camayahan,160202031,0,0,28,Low,MMI-8,7553.70822281167,0.312838982601287,1248.60938126717,362.0
70,74471,Pilipinas,Agusan del Norte,Butuan City,0.0005661479,Pigdaulan,160202103,18,0,19,None,Not Susceptible,7392.824668705401,0.469888884988096,2175.72053861524,103.0
71,74497,Pilipinas,Agusan del Norte,Butuan City,0.0010562652900000002,Aupagan,160202010,2472,2,52,None,Not Susceptible,6468.395121951221,0.562253964562265,1705.75635747108,437.0
72,74537,Pilipinas,Agusan del Norte,Butuan City,0.0005667729099999999,Salvacion,160202099,0,0,7,None,Not Susceptible,7720.140096618349,0.293972971068846,1307.3549039102,51.0
73,74542,Pilipinas,Agusan del Norte,Butuan City,0.0018711797100000001,Amparo,160202006,1562,3,106,None,Not Susceptible,7004.23473339291,0.39700869503228603,2610.4374061736303,861.0
74,74573,Pilipinas,Agusan del Norte,Butuan City,0.0013509262699999997,Maibu,160202063,0,0,24,Low,MMI-8,7575.029239766079,0.210879516350218,1328.71691214402,204.0
75,74576,Pilipinas,Agusan del Norte,Butuan City,0.00032738446,Don Francisco,160202102,0,0,2,None,Not Susceptible,7877.76909722223,0.221199999004602,1007.2186882249301,23.0
76,74583,Pilipinas,Agusan del Norte,Butuan City,0.0013953617000000001,Nong-nong,160202096,60,2,6,Medium,MMI-9,7669.34488251693,0.21795238093251298,1434.45885290146,44.0
77,74598,Pilipinas,Agusan del Norte,Butuan City,0.00049476243,Bilay,160202021,0,0,5,None,Not Susceptible,8009.738173817379,0.239903227456154,1291.33339773482,81.0
78,74606,Pilipinas,Agusan del Norte,Butuan City,0.0006593073799999999,Bitan-agan,160202023,62,0,2,None,Not Susceptible,8062.67005937235,0.22683333286217303,1330.85311296741,27.0
79,74641,Pilipinas,Agusan del Norte,Butuan City,0.00640804937,Tungao,160202087,20,1,87,Low,MMI-8,8194.836897930809,0.20633503836591502,6333.83544132974,879.0
80,74643,Pilipinas,Agusan del Norte,Butuan City,0.00085201038,Dulag,160202094,0,0,19,None,Not Susceptible,8073.59620596206,0.256647058269557,1692.93915253077,167.0
81,74661,Pilipinas,Agusan del Norte,Butuan City,0.00130732071,Maguinda,160202060,0,1,27,Low,MMI-8,7864.10685398042,0.219051282184246,3348.4947906523303,277.0
82,74673,Pilipinas,Agusan del Norte,Butuan City,0.00149093429,Florida,160202095,0,0,15,None,Not Susceptible,8029.72066822067,0.192556701062881,2471.58435265375,141.0
83,74678,Pilipinas,Agusan del Norte,Butuan City,0.0017276796300000003,Manila de Bugabus,160202065,4,0,43,Low,MMI-8,8427.149983803041,0.22542574352557102,3552.5019692853707,323.0
84,74685,Pilipinas,Agusan del Norte,Butuan City,0.00067805099,Bugabus,160202026,0,0,18,None,Not Susceptible,7899.51159072742,0.34213158056924203,1447.27605784176,104.0
85,74740,Pilipinas,Agusan del Norte,Butuan City,0.00034902925,San Mateo,160202076,0,0,11,None,Not Susceptible,7445.994871794871,0.245565220713615,2304.9606884299,111.0
